Image_ID,orig_covid_ms1.50 - fib score,orig_covid_ms1.50 - fib score manip,manip - fib
477,0.003554876,0.535640001,0.532085125
478,0.334368408,0.985152483,0.650784075
479,0.067281589,0.392858863,0.325577274
480,0.004909875,0.643224537,0.638314663
481,0.029523799,0.948059201,0.918535402
482,0.008045832,0.696954787,0.688908955
483,0.000192248,0.004595464,0.004403216
484,0.038142413,0.85068047,0.812538058
485,0.024516286,0.227727666,0.20321138
486,0.000723589,0.769371688,0.7686481
487,0.067241475,0.676159322,0.608917847
488,0.017810861,0.048519753,0.030708892
489,0.072734542,0.890788436,0.818053894
490,0.00496152,0.27663669,0.27167517
491,0.004344943,0.813556671,0.809211728
492,0.003903635,0.845684111,0.841780476
493,0.000794373,0.178114861,0.177320489
494,0.010397034,0.887511134,0.8771141
495,0.044892769,0.966384947,0.921492178
496,0.039964311,0.960839152,0.920874842
497,0.001535902,0.267492443,0.265956541
498,0.006738144,0.894401312,0.887663168
499,0.006304255,0.878515661,0.872211406
500,0.017292395,0.949092805,0.93180041
501,0.014326482,0.796820104,0.782493622
502,0.002637902,0.084935352,0.082297451
503,0.008516056,0.696441591,0.687925534
504,0.65666002,0.996561587,0.339901567
505,0.036898643,0.354836762,0.317938119
506,0.204823539,0.984661818,0.779838279
507,0.003524423,0.367583036,0.364058614
508,0.005100428,0.452988982,0.447888554
509,0.000533524,0.636635065,0.636101541
510,0.002058913,0.245717093,0.24365818
511,0.027421484,0.888534665,0.861113181
512,0.314527243,0.979772925,0.665245682
513,0.002340312,0.549013019,0.546672707
514,0.004625014,0.852401912,0.847776898
515,0.001394305,0.65912497,0.657730665
516,0.002090664,0.536587894,0.53449723
517,0.027576663,0.929014504,0.901437841
518,0.013336111,0.848653853,0.835317742
519,0.007650177,0.86679858,0.859148403
520,0.003964324,0.407349318,0.403384994
521,0.021061461,0.920681298,0.899619836
522,0.032479916,0.895729482,0.863249566
523,0.002357406,0.286191493,0.283834088
524,0.094741017,0.980456889,0.885715872
525,0.003756748,0.026215477,0.022458729
526,0.012387687,0.831047952,0.818660265
527,0.053253815,0.942598462,0.889344648
528,0.016590096,0.23974447,0.223154373
529,0.00189127,0.514260411,0.512369141
530,0.28127417,0.97953105,0.69825688
531,0.003054243,0.580230594,0.57717635
532,0.01250884,0.63413775,0.621628909
533,0.014182603,0.648998976,0.634816373
534,0.011942437,0.17459479,0.162652353
535,0.002392008,0.546835899,0.544443891
536,0.003235952,0.520812333,0.51757638
537,0.003451285,0.751874208,0.748422923
538,0.005181554,0.492060125,0.486878571
539,0.027317373,0.931401908,0.904084535
540,0.000309236,0.295432508,0.295123272
